spcd,common name,Genus,Species,Species2,phy,myc,spcd,totdbh,Order,family,Clade,Phycat1,Phycat2,Leaf N_mg_g,Sample_Size_LeafN
753,Lombardy poplar,Populus,nigra,Populus nigra,A,b,753,0,Malpighiales,Salicaceae,Fabids,Other,Salicaceae,18.33816667,6
407,shagbark hickory,Carya,ovata,Carya ovata,A,e,407,4288.43,Fagales,Juglandaceae,Fabids,Other,Juglandaceae,19.03636364,11
471,eastern redbud,Cercis,canadensis,Cercis canadensis,A,a,471,468.55,Rosales,Cannabaceae,Fabids,Other,Other,19.11578947,19
391,"American hornbeam, musclewood",Carpinus,caroliniana,Carpinus caroliniana,A,e,391,995.44,Fagales,Betulaceae,Fabids,Other,Betulaceae,19.16666667,6
71,tamarack (native),Larix,laricina,Larix laricina,G,e,71,1568,Pinales,Pinaceae,Pinales,Pinaceae,Pinaceae,19.18708338,72
421,American chestnut,Castanea,dentata,Castanea dentata,A,e,421,43.1,Fagales,Fagaceae,Fabids,Fagaceae,Fagaceae,19.1924,5
320,Norway maple,Acer,platanoides,Acer platanoides,A,a,320,0,Sapindales,Sapindaceae,Malvids,Sapindaceae,Sapindaceae,19.28585146,16
771,"sweet cherry, domesticated",Prunus,avium,Prunus avium,A,a,771,17.3,Rosales,Rosaceae,Fabids,Other,Other,19.35994898,14
763,chokecherry,Prunus,virginiana,Prunus virginiana,A,a,763,141.3,Rosales,Rosaceae,Fabids,Other,Other,19.62054286,35
621,yellow-poplar,Liriodendron,tulipifera,Liriodendron tulipifera,A,a,621,13962.6,Magnoliales,Magnoliaceae,Magnolids,Other,Other,19.66863731,26
972,American elm,Ulmus,americana,Ulmus americana,A,a,972,6539.34,Rosales,Ulmaceae,Fabids,Other,Other,20.02952632,19
804,swamp white oak,Quercus,bicolor,Quercus bicolor,A,e,804,376.2,Fagales,Fagaceae,Fabids,Fagaceae,Fagaceae,20.2,1
543,black ash,Fraxinus,nigra,Fraxinus nigra,A,a,543,3416.7,Lamiales,Oleaceae,Asterids,Other,Oleaceae,20.2,5
561,"ginkgo, maidenhair tree",Ginkgo,biloba,Ginkgo biloba,A,a,561,0,,,,,,20.3,1
681,white mulberry,Morus,alba,Morus alba,A,a,681,56.1,Rosales,Moraceae,Fabids,Other,Other,20.36594143,7
833,northern red oak,Quercus,rubra,Quercus rubra,A,e,833,19315.38,Fagales,Fagaceae,Fabids,Fagaceae,Fagaceae,20.46307059,135
921,peachleaf willow,Salix,amygdaloides,Salix amygdaloides,A,b,921,38.8,Malpighiales,Salicaceae,Fabids,Other,Salicaceae,20.6,1
802,white oak,Quercus,alba,Quercus alba,A,e,802,24152.78,Fagales,Fagaceae,Fabids,Fagaceae,Fagaceae,20.77583462,114
331,Ohio buckeye,Aesculus,glabra,Aesculus glabra,A,a,331,277.9,Sapindales,Hippocastanaceae,Malvids,Other,Other,20.8,1
424,Chinese chestnut,Castanea,mollissima,Castanea mollissima,A,e,424,0,Fagales,Fagaceae,Fabids,Fagaceae,Fagaceae,20.932,5
923,Bebb willow,Salix,bebbiana,Salix bebbiana,A,b,923,2.1,Malpighiales,Salicaceae,Fabids,Other,Salicaceae,21.1,1
977,rock elm,Ulmus,thomasii,Ulmus thomasii,A,a,977,10.7,Rosales,Ulmaceae,Fabids,Other,Other,21.2,5
809,northern pin oak,Quercus,ellipsoidalis,Quercus ellipsoidalis,A,e,809,1337.4,Fagales,Fagaceae,Fabids,Fagaceae,Fagaceae,21.26788889,54
452,northern catalpa,Catalpa,speciosa,Catalpa speciosa,A,a,452,18,Lamiales,Bignoniaceae,Asterids,Other,Other,21.6,2
712,"paulownia, empress-tree",Paulownia,tomentosa,Paulownia tomentosa,A,a,712,41.3,Lamiales,Paulowniaceae,Asterids,Other,Other,21.66281143,7
975,slippery elm,Ulmus,rubra,Ulmus rubra,A,a,975,2292.35,Rosales,Ulmaceae,Fabids,Other,Other,21.83333333,6
745,plains cottonwood,Populus,deltoides,Populus deltoides,A,b,745,0,Malpighiales,Salicaceae,Fabids,Other,Salicaceae,22.02321429,56
742,eastern cottonwood,Populus,deltoides,Populus deltoides,A,b,742,1424.9,Malpighiales,Salicaceae,Fabids,Other,Salicaceae,22.02321429,56
743,bigtooth aspen,Populus,grandidentata,Populus grandidentata,A,b,743,5729,Malpighiales,Salicaceae,Fabids,Other,Salicaceae,22.06666667,9
402,bitternut hickory,Carya,cordiformis,Carya cordiformis,A,e,402,2111.48,Fagales,Juglandaceae,Fabids,Other,Juglandaceae,22.16666667,6
318,sugar maple,Acer,saccharum,Acer saccharum,A,a,318,31694.31,Sapindales,Sapindaceae,Malvids,Sapindaceae,Sapindaceae,22.41873154,298
823,bur oak,Quercus,macrocarpa,Quercus macrocarpa,A,e,823,4109.6,Fagales,Fagaceae,Fabids,Fagaceae,Fagaceae,22.53564706,34
319,mountain maple,Acer,spicatum,Acer spicatum,A,a,319,123.8,Sapindales,Sapindaceae,Malvids,Sapindaceae,Sapindaceae,22.74,5
373,river birch,Betula,nigra,Betula nigra,A,e,373,458.84,Fagales,Betulaceae,Fabids,Other,Betulaceae,22.76,5
655,mountain or Fraser magnolia,Magnolia,fraseri,Magnolia fraseri,A,a,655,174.3,Magnoliales,Magnoliaceae,Magnolids,Other,Other,22.9,2
601,butternut,Juglans,cinerea,Juglans cinerea,A,a,601,298.9,Fagales,Juglandaceae,Fabids,Other,Juglandaceae,23.48333333,6
761,pin cherry,Prunus,pensylvanica,Prunus pensylvanica,A,a,761,322.4,Rosales,Rosaceae,Fabids,Other,Other,23.65454545,11
317,silver maple,Acer,saccharinum,Acer saccharinum,A,a,317,2995.95,Sapindales,Sapindaceae,Malvids,Sapindaceae,Sapindaceae,23.66667,1
762,black cherry,Prunus,serotina,Prunus serotina,A,a,762,12841.03,Rosales,Rosaceae,Fabids,Other,Other,23.68903475,39
541,white ash,Fraxinus,americana,Fraxinus americana,A,a,541,9975.77,Lamiales,Oleaceae,Asterids,Other,Oleaceae,23.74360028,37
